aoi,trialnum,layout,target,stimulus,part4,fixations,x1,y1,x2,y2,x3,y3,x4,y4
28C-CORNERS-SWING,28,CORN,C,SWING,,0,149.310000,747.950000,2.800000,746.400000,1.190000,620.430000,149.310000,617.320000
26C-WIDE-BABY,26,WIDE,C,BABY,,0,145.200000,327.670000,-1.310000,326.110000,-2.920000,200.150000,145.200000,197.040000
24C-SOC-BOY,24,SOC,C,BOY,,0,149.060000,443.820000,2.550000,442.260000,0.940000,316.290000,149.060000,313.180000
12C-CLOCK-BABY,12,CLOC,C,BABY,,0,149.240000,384.860000,2.730000,383.300000,1.120000,257.340000,149.240000,254.230000
19X-SOC-ALL,19,SOC,X,ALL,,60,1.140000,1.140000,588.910000,1.140000,588.910000,603.720000,1.140000,603.720000
7C-CLOCK-SWINGING,7,CLOC,C,SWINGING,,0,407.080000,126.980000,260.570000,125.420000,258.960000,-0.550000,407.080000,-3.660000
29B-WIDE-SLIDING-1,29,WIDE,B,SLIDING,1,0,341.050000,128.650000,194.540000,127.090000,192.930000,1.130000,341.050000,-1.980000
23C-CORNERS-BALL,23,CORN,C,BALL,,4,298.220000,600.200000,151.710000,598.640000,150.100000,472.680000,298.220000,469.570000
27C-SOC-BABY,27,SOC,C,BABY,,0,146.060000,283.820000,-0.450000,282.260000,-2.060000,156.290000,146.060000,153.180000
31C-WIDE-ME,31,WIDE,C,ME,,0,144.790000,738.400000,-1.720000,736.840000,-3.330000,610.870000,144.790000,607.760000
4C-WIDE-SWINGING,4,WIDE,C,SWINGING,,0,352.650000,738.400000,206.140000,736.840000,204.530000,610.870000,352.650000,607.760000
19C-SOC-ME,19,SOC,C,ME,,7,149.060000,130.820000,2.550000,129.260000,0.940000,3.290000,149.060000,0.180000
24C-SOC-ME,24,SOC,C,ME,,0,149.060000,130.820000,2.550000,129.260000,0.940000,3.290000,149.060000,0.180000
18C-CLOCK-ME,18,CLOC,C,ME,,0,147.420000,247.250000,0.910000,245.690000,-0.700000,119.730000,147.420000,116.620000
21X-SOC-ALL,21,SOC,X,ALL,,109,1.140000,1.140000,588.910000,1.140000,588.910000,603.720000,1.140000,603.720000
23C-CORNERS-SLIDE,23,CORN,C,SLIDE,,0,298.220000,745.640000,151.710000,744.090000,150.100000,618.120000,298.220000,615.010000
14C-SOC-LADDER,14,SOC,C,LADDER,,8,446.060000,608.820000,299.550000,607.260000,297.940000,481.290000,446.060000,478.180000
15C-CORNERS-GIRL,15,CORN,C,GIRL,,0,146.000000,129.280000,-0.510000,127.720000,-2.120000,1.760000,146.000000,-1.350000
32C-WIDE-LADDER,32,WIDE,C,LADDER,,0,550.530000,129.370000,404.020000,127.820000,402.410000,1.850000,550.530000,-1.260000
4C-WIDE-COLD,4,WIDE,C,COLD,,0,740.780000,741.400000,594.270000,739.840000,592.660000,613.870000,740.780000,610.760000
16C-SOC-HOT,16,SOC,C,HOT,,0,592.060000,446.820000,445.550000,445.260000,443.940000,319.290000,592.060000,316.180000
5A-CLOCK-BABY,5,CLOC,A,BABY,,50,145.460000,389.510000,-1.050000,387.960000,-2.660000,261.990000,145.460000,258.880000
28X-CORNERS-ALL,28,CORN,X,ALL,,77,-5.480000,-5.890000,745.530000,-5.890000,745.530000,772.330000,-5.480000,772.330000
9A-CLOCK-COLD,9,CLOC,A,COLD,,36,545.400000,765.620000,398.890000,764.060000,397.280000,638.100000,545.400000,634.990000
10C-CORNERS-BOY,10,CORN,C,BOY,,0,297.220000,273.640000,150.710000,272.090000,149.100000,146.120000,297.220000,143.010000
23X-CORNERS-ALL,23,CORN,X,ALL,,68,-2.210000,-5.270000,748.800000,-5.270000,748.800000,772.950000,-2.210000,772.950000
32C-WIDE-HOT,32,WIDE,C,HOT,,0,733.390000,534.690000,586.880000,533.140000,585.270000,407.170000,733.390000,404.060000
1C-WIDE-BABY,1,WIDE,C,BABY,,0,147.460000,331.080000,0.940000,329.520000,-0.670000,203.550000,147.460000,200.440000
7C-CLOCK-BABY,7,CLOC,C,BABY,,0,149.240000,384.860000,2.730000,383.300000,1.120000,257.340000,149.240000,254.230000
17C-CORNERS-THROWING,17,CORN,C,THROWING,,0,590.860000,273.230000,444.350000,271.670000,442.740000,145.700000,590.860000,142.590000
31C-WIDE-COLD,31,WIDE,C,COLD,,0,740.780000,741.400000,594.270000,739.840000,592.660000,613.870000,740.780000,610.760000
31C-WIDE-CLIMBING,31,WIDE,C,CLIMBING,,0,339.050000,320.240000,192.540000,318.680000,190.930000,192.710000,339.050000,189.600000
13C-SOC-SWINGING,13,SOC,C,SWINGING,,0,300.560000,444.320000,154.050000,442.760000,152.440000,316.790000,300.560000,313.680000
3C-CLOCK-THROWING,3,CLOC,C,THROWING,,0,556.760000,124.880000,410.250000,123.320000,408.640000,-2.640000,556.760000,-5.750000
1X-WIDE-ALL,1,WIDE,X,ALL,,133,1.140000,1.140000,738.330000,1.140000,738.330000,739.300000,1.140000,739.300000
26C-WIDE-BALL,26,WIDE,C,BALL,,0,540.050000,324.240000,393.540000,322.680000,391.930000,196.710000,540.050000,193.600000
15C-CORNERS-BALL,15,CORN,C,BALL,,4,291.690000,594.530000,145.170000,592.980000,143.560000,467.010000,291.690000,463.900000
10C-CORNERS-CLIMBING,10,CORN,C,CLIMBING,,0,742.570000,130.180000,596.060000,128.620000,594.450000,2.660000,742.570000,-0.450000
9C-CLOCK-THROWING,9,CLOC,C,THROWING,,0,556.760000,124.880000,410.250000,123.320000,408.640000,-2.640000,556.760000,-5.750000
18A-CLOCK-SWINGING,18,CLOC,A,SWINGING,,9,400.530000,129.370000,254.020000,127.810000,252.410000,1.840000,400.530000,-1.270000
25B-CORNERS-SLIDE-1,25,CORN,B,SLIDE,1,0,293.360000,742.420000,146.850000,740.870000,145.240000,614.900000,293.360000,611.790000
9C-CLOCK-BABY,9,CLOC,C,BABY,,0,146.880000,387.220000,0.370000,385.660000,-1.240000,259.700000,146.880000,256.590000
25C-CORNERS-CLIMBING,25,CORN,C,CLIMBING,,0,742.570000,130.180000,596.060000,128.620000,594.450000,2.660000,742.570000,-0.450000
25C-CORNERS-SLIDING,25,CORN,C,SLIDING,,0,596.210000,128.280000,449.700000,126.730000,448.090000,0.760000,596.210000,-2.350000
23C-CORNERS-CLIMBING,23,CORN,C,CLIMBING,,0,742.570000,130.180000,596.060000,128.620000,594.450000,2.660000,742.570000,-0.450000
22C-WIDE-LADDER,22,WIDE,C,LADDER,,0,545.990000,125.960000,399.480000,124.410000,397.870000,-1.560000,545.990000,-4.670000
12B-CLOCK-BALL-1,12,CLOC,B,BALL,1,0,796.790000,377.640000,650.280000,376.090000,648.670000,250.120000,796.790000,247.010000
11C-CLOCK-SWING,11,CLOC,C,SWING,,0,796.000000,511.640000,649.490000,510.090000,647.880000,384.120000,796.000000,381.010000
8C-WIDE-SWING,8,WIDE,C,SWING,,0,540.040000,528.270000,393.530000,526.720000,391.920000,400.750000,540.040000,397.640000
32C-WIDE-SLIDE,32,WIDE,C,SLIDE,,0,549.120000,739.530000,402.610000,737.980000,401.000000,612.010000,549.120000,608.900000
20C-CLOCK-BABY,20,CLOC,C,BABY,,0,149.240000,384.860000,2.730000,383.300000,1.120000,257.340000,149.240000,254.230000
25C-CORNERS-ME,25,CORN,C,ME,,0,297.220000,128.200000,150.710000,126.640000,149.100000,0.680000,297.220000,-2.430000
29C-WIDE-SAD,29,WIDE,C,SAD,,7,740.190000,327.670000,593.680000,326.110000,592.070000,200.150000,740.190000,197.040000
5C-CLOCK-LADDER,5,CLOC,C,LADDER,,0,798.560000,643.030000,652.050000,641.480000,650.440000,515.510000,798.560000,512.400000
19C-SOC-HOT,19,SOC,C,HOT,,0,592.060000,446.820000,445.550000,445.260000,443.940000,319.290000,592.060000,316.180000
16C-SOC-HAPPY,16,SOC,C,HAPPY,,0,592.060000,127.820000,445.550000,126.260000,443.940000,0.290000,592.060000,-2.820000
6C-CORNERS-BABY,6,CORN,C,BABY,,0,142.900000,270.300000,-3.610000,268.740000,-5.220000,142.780000,142.900000,139.670000
5C-CLOCK-SWINGING,5,CLOC,C,SWINGING,,0,407.080000,126.980000,260.570000,125.420000,258.960000,-0.550000,407.080000,-3.660000
18C-CLOCK-SWING-T,18,CLOC,D,SWING,T,0,798.330000,509.980000,651.820000,508.430000,650.210000,382.460000,798.330000,379.350000
